,Question Identifier,Grade level,Claim,Target,Type,Task model,Variant,Sub-variant,Prompt feature #,Prompt features,Stimulus #,Stimulus,Owner,Questions/comments/notes,# of drafted questions,# of approved questions,# of deployed questions,Exercise name,Recommend adding to exercise,Exercise Link
6.1.E.2.CR.1,6.1.E.2.CR.1.c,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,1,c,1,Or the student is prompted to write an expression that represents a given verbal description of a formula in a real-world problem,1,The student is presented with a verbal expression involving whole number exponents,Duane,,,,,,,
6.1.E.2.CR.2,6.1.E.2.CR.2.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,2,a,1,The student is prompted to write a numerical expression that represents a given verbal expression. ,2,The student is presented with a verbal expression containing variables,Duane,,,,,,,
6.1.E.2.CR.2,6.1.E.2.CR.2.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,2,b,1,Or the student is prompted to write an algebraic expression that represents a given verbal expression. ,2,The student is presented with a verbal expression containing variables,Duane,,,,,Writing expressions 1,More problem types could be added including exponents.,https://www.khanacademy.org/math/algebra/solving-linear-equations-and-inequalities/manipulating-expressions/e/writing_expressions_1
6.1.E.2.CR.2,6.1.E.2.CR.2.c,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,2,c,1,Or the student is prompted to write an expression that represents a given verbal description of a formula in a real-world problem,2,The student is presented with a verbal expression containing variables,,,,,,,,
6.1.E.2.CR.3,6.1.E.2.CR.3.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,3,a,1,The student is prompted to write a numerical expression that represents a given verbal expression. ,3,The student is presented with a verbal description of a formula in a real-world problem,,,,,,,,
6.1.E.2.CR.3,6.1.E.2.CR.3.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,3,b,,Or the student is prompted to write an algebraic expression that represents a given verbal expression. ,3,The student is presented with a verbal description of a formula in a real-world problem,,,6,,,,,
6.1.E.2.CR.3,6.1.E.2.CR.3.c,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,2.CR,3,c,,Or the student is prompted to write an expression that represents a given verbal description of a formula in a real-world problem,3,The student is presented with a verbal description of a formula in a real-world problem,,,,,,,,
6.1.E.3.CR.1,6.1.E.3.CR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,3.CR,1,,1,The student is prompted to use properties of operations to explain why two expressions are equivalent,1,The student is presented with two equivalent expressions,,,,,,,,
6.1.E.3.SR.1,6.1.E.3.SR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,SR,3.SR,1,,1,The student is prompted to identify properties of operations that can be used to demonstrate that two expressions are equivalent,1,The student is presented with two equivalent expressions,,,,,,,,
6.1.E.4.CR.1,6.1.E.4.CR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,CR,4.CR,1,,1,The student is prompted to use given parameters to write an expression that is equivalent to a given expression,1,The student is presented with an expression and the parameters to create an equivalent expression,,,,,,,,
6.1.E.4.SR.1,6.1.E.4.SR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,E - Apply and extend previous understandings of arithmetic to algebraic expressions,SR,4.SR,1,,1,The student is prompted to identify an expression that is equaivalent to a given expression,1,The student is presented with an expression,,,,,,,,
6.1.F.1.CR.1,6.1.F.1.CR.1.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,CR,1.CR,1,a,1,The student is prompted to show how substitution is used to solve one-variable equations and inequalities,,The student is presented with a one-variable equation in a problem,,,,,,,,
6.1.F.1.CR.1,6.1.F.1.CR.1.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,CR,1.CR,1,b,1,The student is prompted to show how substitution is used to solve one-variable equations and inequalities,1,The student is presented with a one-variable inequality in a problem,,,,,,,,
6.1.F.1.SR.1,6.1.F.1.SR.1.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,1.SR,1,a,1,The student is prompted to use substitution to identify the solution to one-variable equations,1,The student is presented with a one-variable equation in a problem and/or a solution set,,,,,,,linear_equations_1-4,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/linear_equations_1.html?debug
6.1.F.1.SR.1,6.1.F.1.SR.1.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,1.SR,1,b,1,The student is prompted to use substitution to identify the solution to one-variable inequalities,1,The student is presented with a one-variable inequality in a problem and/or a solution set,,,,,,,"One step inequalities, Multistep Inequalities",http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/one_step_inequalities.html?debug
6.1.F.2.CR.1,6.1.F.2.CR.1.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,CR,2.CR,1,a,1,The student is prompted to write and solve one-variable equations and inequalities in real-world and mathematical problems,1,The student is presented with a verbal expression in a real-world or mathematical problem involving a one-variable equation of the form x + p =q,,,,,,,,
6.1.F.2.CR.1,6.1.F.2.CR.1.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,CR,2.CR,1,b,1,The student is prompted to write and solve one-variable equations and inequalities in real-world and mathematical problems,1,The student is presented with a verbal expression in a real-world or mathematical problem involving a one-variable inequality of the form x>c or x<c,,,,,,,,
6.1.F.2.SR.,6.1.F.2.SR..e,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,,e,,The student is prompted to identify the one-variable equations or inequalities that correspond to verbal expressions in mathematical problems.,,The student is presented with a verbal expression in a mathematical problem involving a one-variable inequality of the form x>c or x<c,,,,,,,,
6.1.F.2.SR.,6.1.F.2.SR..g,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,,g,1,The student is prompted identify the solution to one-variable equations and inequalities in mathematical probems,1,The student is presented with a verbal expression in a mathematical problem involving a one-variable inequality of the form x>c or x<c,,,,,,,,
6.1.F.2.SR.1,6.1.F.2.SR.1.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,1,a,1,The student is prompted to identify the one-variable equations or inequalities that correspond to verbal expressions in real-world and mathematical problems.,1,The student is presented with a verbal expression in a mathematical problem involving a one-variable equation of the form x + p =q,,,,,,,,
6.1.F.2.SR.1,6.1.F.2.SR.1.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,1,b,1,The student is prompted to identify the one-variable equations or inequalities that correspond to verbal expressions in real-world problems.,1,The student is presented with a verbal expression in a real-world problem involving a one-variable equation of the form x + p =q,,,,,,,,
6.1.F.2.SR.1,6.1.F.2.SR.1.c,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,1,c,1,The student is prompted identify the solution to one-variable equations and inequalities in mathematical probems,1,The student is presented with a verbal expression in a mathematical problem involving a one-variable equation of the form x + p =q,,,,,,,,
6.1.F.2.SR.1,6.1.F.2.SR.1.d,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,1,d,1,The student is prompted identify the solution to one-variable equations and inequalities in real-world probems,1,The student is presented with a verbal expression in a real-world problem involving a one-variable equation of the form x + p =q,,,,,,,',
6.1.F.2.SR.1,6.1.F.2.SR.1.f,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,1,f,1,The student is prompted to identify the one-variable equations or inequalities that correspond to verbal expressions in real-world problems.,1,The student is presented with a verbal expression in a real-world problem involving a one-variable inequality of the form x>c or x<c,,,,,,,,
6.1.F.2.SR.1,6.1.F.2.SR.1.h,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,2.SR,1,h,1,The student is prompted identify the solution to one-variable equations and inequalities in real-world probems,1,The student is presented with a verbal expression in a real-world problem involving a one-variable inequality of the form x>c or x<c,,,,,,,,
6.1.F.3.SR.1,6.1.F.3.SR.1.a,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,3.SR,1,a,1,The student is prompted to identify a number line that represents the solution to a one-variable inequality presented in a mathematical problem,1,The student is presented with a one-variable inequality in a mathematical problem,,,,,,Related to: Inequalities on a number line.,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/inequalities_on_a_number_line.html?debug
6.1.F.3.SR.1,6.1.F.3.SR.1.b,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,SR,3.SR,1,b,1,The student is prompted to identify a number line that represents the solution to a one-variable inequality presented in a real-world problem,,The student is presented with a one-variable inequality in a real-world problem,,,,,,,,
6.1.F.3.TE.1,6.1.F.3.TE.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,F - Reason about and solve one-variable equations and inequalities,TE,3.TE,1,,1,The student is prompted to represent the solution to a one-variable inequality presented in a real-world or mathematical problem on a number line,1,The student is presented with a one-variable inequality in a real-world or mathematical problem. Interaction: The student uses a graphing tool to represent the solution,Knowledge map,,,,,,"One step inequalities, Multistep Inequalities",https://www.khanacademy.org/math/algebra/linear_inequalities/inequalities/e/one_step_inequalities
6.1.G.1.SR.1,6.1.G.1.SR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,SR,1.SR,1,,1,The student is prompted to identify an equation that uses dependent and independent variables to relate two quantities,1,The student is presented with independent or dependent quantities in a real-world context,,,,,,,,
6.1.G.2.CR.1,6.1.G.2.CR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,CR,2.CR,1,,1,The student is prompted to write an equation that uses dependent and idependent variables to relate two quantities,1,The student is presented with independent or dependent quantities in a real-world context,,,,,,,,
6.1.G.3.CR.1,6.1.G.3.CR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,CR,3.CR,1,,1,The student is prompted to write correct statements about the relationship between dependent and independent variables in the forms of an equation and a table,1,The student is presented with independent or dependent variables in the forms of an equations and a table,,,,,,,,
6.1.G.3.SR.1,6.1.G.3.SR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,SR,3.SR,1,,1,The student is prompted to identify correct statements about the relationship between dependent and independent variables in the forms of an equation and a table,1,The student is presented with independent or dependent variables in the forms of an equations and a table,Lisa,,,,,,,
6.1.G.4.CR.1,6.1.G.4.CR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,CR,4.CR,1,,1,The student is prompted to write correct statements about the relationship between dependent and independent variables in the forms of an equation and a graph,1,The student is presented with independent or dependent variables in the forms of an equations and a graph,Lisa,,,,,,,
6.1.G.4.SR.1,6.1.G.4.SR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,SR,4.SR,1,,1,The student is prompted to identify correct statements about the relationship between dependent and independent variables in the forms of an equation and a table,1,The student is presented with independent or dependent variables in the forms of an equations and a graph,Neil,,,,,,,
6.1.G.5.CR.1,6.1.G.5.CR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,CR,5.CR,1,,1,The student is prompted to write correct statements about the relationship between dependent and independent variables in the forms of a table and a graph,1,The student is presented with independent or dependent variables in the forms of a table and a graph,Neil,,,,,,,
6.1.G.5.SR.1,6.1.G.5.SR.1.,6,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,G - Represent and analyze quantitative relationships between dependent and independent variables,SR,5.SR,1,,1,The student is prompted to identify correct statements about the relationship between dependent and independent variables in the forms of a table and a graph,1,The student is presented with independent or dependent variables in the forms of a table and a graph,Neil,,,,,,,
7.1.C.1.CR.1,7.1.C.1.CR.1.,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,CR,1.CR,1,,1,The student is prompted to write the sum or difference of linear expressions with rational coefficients,1,The student is presented with two or more linear expressions with rational coefficients,Neil,,,,,,Related to combining like terms,https://www.khanacademy.org/math/algebra/solving-linear-equations-and-inequalities/manipulating-expressions/e/combining_like_terms_1
7.1.C.1.SR.1,7.1.C.1.SR.1.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,SR,1.SR,1,a,1,The student is prompted to identify the sum or difference of linear expressions with rational coefficients.,1,The student is presented with two or more linear expressions with rational coefficients,Neil,,,,,Related to:  Combining like terms,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/combining_like_terms_1.html
7.1.C.1.SR.1,7.1.C.1.SR.1.b,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,SR,1.SR,1,b,1,The student is prompted to identify a list of solution steps that can be used to find the sum or difference of given linear expressions with rational coefficients,1,The student is presented with two or more linear expressions with rational coefficients,Neil,,,,,,,
7.1.C.2.CR.1,7.1.C.2.CR.1.,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,CR,2.CR,1,,1,The student is prompted to determine the factors of linear expressions with rational coefficients,1,The student is presented with one or more linear expressions with rational coefficients,Neil,,,,,,Distributive property (this is undoing distribution),https://www.khanacademy.org/math/arithmetic/multiplication-division/ditributive_property/e/distributive_property
7.1.C.2.SR.1,7.1.C.2.SR.1.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,SR,2.SR,1,a,1,The student is prompted to identify the factors of a linear expression.,1,The student is presented with a linear expression with rational coefficients,Neil,,,,,,,
7.1.C.2.SR.1,7.1.C.2.SR.1.b,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,SR,2.SR,1,b,1,The student is prompted to identify a list of solution steps that can be used to factor a given linear expression with rational coefficients,1,The student is presented with a linear expression with rational coefficients,,,,,,,,
7.1.C.3.SR.1,7.1.C.3.SR.1.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,SR,3.SR,1,a,1,The student is prompted to identify the expanded form of products of linear expressions with rational coefficients. ,1,The student is presented with linear expressions with rational coefficients,Ryan,,,,,Related to: Distributive property,Could add noninteger coefficients,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/distributive_property.html
7.1.C.3.SR.1,7.1.C.3.SR.1.b,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,SR,3.SR,1,b,1,The student is prompted to identify a list of solution steps that can be used to write the product of given linear expressions with rational coefficients in expanded form,1,The student is presented with linear expressions with rational coefficients,,,,,,,,
7.1.C.4.CR.1,7.1.C.4.CR.1.,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,CR,4.CR,1,,1,The student is prompted to write a linear expression that is equivalent to a given linear expression,1,The student is presented with a linear expression,Tags 7.1.D.2.SR.2.a - c look to be identical to tags 7.1.D.2.SR.1.a - c,,,,,,,
7.1.C.4.SR.1,7.1.C.4.SR.1.,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,C - Use properties of operations to generate equivalent expressions,SR,4.SR,1,,1,The student is prompted to identify a linear expression that is equivalent to a given linear expression,1,The student is presented with a linear expression,,,,,,,,
7.1.D.1.SR.1,7.1.D.1.SR.1.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,1.SR,1,a,1,The student is prompted to identify a rational number that is equivalent to a given rational number but in a different form. ,1,The student is presented with a rational number,,,,,,,Equivalent fractions 1-2,https://www.khanacademy.org/math/arithmetic/fractions/Equivalent_fractions/e/equivalent_fractions
7.1.D.1.SR.1,7.1.D.1.SR.1.b,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,1.SR,1,b,1,The student is prompted to identify a pair of equaivalent rational numbers in different forms,1,The student is presented with a rational number,,,,,,,Equivalent fractions 1-2,https://www.khanacademy.org/math/arithmetic/fractions/Equivalent_fractions/e/equivalent_fractions
7.1.D.1.SR.2,7.1.D.1.SR.2.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,1.SR,2,a,1,The student is prompted to identify a rational number that is equivalent to a given rational number but in a different form. ,2,The student is presented with a list of three to five rational numbers,,,,,,,Equivalent fractions 1-2,https://www.khanacademy.org/math/arithmetic/fractions/Equivalent_fractions/e/equivalent_fractions
7.1.D.1.SR.2,7.1.D.1.SR.2.b,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,1.SR,2,b,1,The student is prompted to identify a pair of equaivalent rational numbers in different forms,2,The student is presented with a list of three to five rational numbers,,,,,,,Equivalent fractions 1-2,https://www.khanacademy.org/math/arithmetic/fractions/Equivalent_fractions/e/equivalent_fractions
7.1.D.2.SR.1,7.1.D.2.SR.1.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,2.SR,1,a,1,The student is prompted to identify the number to which a numeric expression simplifies,1,"The student is presented with a verbal description of a multi-step, real-life problem involving rational numbers in different forms. The rational numbers can be in the form of positive integers",,,,,,"Coverd in: Addition and subtraction word problems, Multiplication and division word problems",,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/matrix_addition_and_subtraction.html
7.1.D.2.SR.1,7.1.D.2.SR.1.b,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,2.SR,1,b,1,The student is prompted to identify the number to which a numeric expression simplifies,1,"The student is presented with a verbal description of a multi-step, real-life problem involving rational numbers in different forms. The rational numbers can be in the form of positive or negative integers",,,,,,"Coverd in: Addition and subtraction word problems, Multiplication and division word problems",Could add negatives to multiplication and division,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/arithmetic_word_problems_2.html
7.1.D.2.SR.1,7.1.D.2.SR.1.c,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,2.SR,1,c,1,The student is prompted to identify the number to which a numeric expression simplifies,1,"The student is presented with a verbal description of a multi-step, real-life problem involving rational numbers in different forms. The rational numbers can be in the form of positive or negative fractions, percents, terminating and repeating decimals",,,,,,"Coverd in: Fraction word problems, Percentage word problems, Adding and subtracting decimals word problems, some others.",Could add negatives to fractions,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/
7.1.D.2.SR.2,7.1.D.2.SR.2.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,2.SR,2,a,1,The student is prompted to identify the number to which a numeric expression simplifies,2,"The student is presented with a verbal description of a multi-step, real-life problem involving rational numbers in different forms. The rational numbers can be in the form of positive integers",,Tags 7.1.D.2.SR.2.a - c seem to duplicate tags 7.1.D.2.SR.1.a - c,,,,not splitting this because the different forms can coexist in a given problem - be sure to include all forms across the 25 problems,,
7.1.D.2.SR.2,7.1.D.2.SR.2.b,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,2.SR,2,b,1,The student is prompted to identify the number to which a numeric expression simplifies,2,"The student is presented with a verbal description of a multi-step, real-life problem involving rational numbers in different forms. The rational numbers can be in the form of positive or negative integers",,Tags 7.1.D.2.SR.2.a - c seem to duplicate tags 7.1.D.2.SR.1.a - c,,,,,,
7.1.D.2.SR.2,7.1.D.2.SR.2.c,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,SR,2.SR,2,c,1,The student is prompted to identify the number to which a numeric expression simplifies,2,"The student is presented with a verbal description of a multi-step, real-life problem involving rational numbers in different forms. The rational numbers can be in the form of positive or negative fractions, percents, terminating and repeating decimals",,Tags 7.1.D.2.SR.2.a - c seem to duplicate tags 7.1.D.2.SR.1.a - c,,,,,,
7.1.D.3.CR.1,7.1.D.3.CR.1.a,7,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Solve real-life and mathematical problems using numerical and algebraic expressions and equations,CR,3.CR,1,a,1,The student is prompted to construct an equation that represents a real-life or mathematical problem. ,1,"The student is presented with a real-life or mathematical problem that leads to an equation of the form px+q=r or p(x+q)=r, where p, q, and r are specific rational numbers",,,,,,,,
